"","Keuwl","Accelerometer","Data","File","","42706.0","14-13-01"
"Number","Time(s)","X(g)","Y(g)","Z(g)","R(g)","Theta(deg)","Phi(deg)"
"147.0","12.758","0.15326795","0.9176552","-0.059549972","0.9322706","93.66234","80.517914"
"148.0","12.771001","0.21379416","0.92448884","-0.093717985","0.9535044","95.640594","76.978874"
"149.0","12.797001","0.20793676","0.9469421","-0.084931925","0.97321653","95.00653","77.61512"
"150.0","12.81","0.1552204","0.9772052","-0.042954076","0.99038804","92.485756","80.97447"
"151.0","12.834001","0.12398108","0.9830626","-0.034168016","0.9914388","91.974976","82.811966"
"152.0","12.851001","0.11226633","0.96451426","-0.045882765","0.97210944","92.70532","83.36083"
"153.0","12.873","0.1210524","0.9586569","-0.04783522","0.9674528","92.834114","82.803185"
"154.0","12.891001","0.14643435","0.9459658","-0.071264714","0.9598818","94.257744","81.20052"
"155.0","12.912001","0.15033926","0.9508471","-0.061502427","0.96462154","93.65555","81.01529"
"156.0","12.931001","0.15424417","0.98794377","-0.08102701","1.0031897","94.63279","81.12625"
"157.0","12.950001","0.18255483","0.98794377","-0.09567044","1.0092136","95.43964","79.53082"
"158.0","12.97","0.19426957","0.98403883","-0.10152781","1.0081573","95.77985","78.83224"
"159.0","12.990001","0.19134088","0.9684192","-0.0976229","0.9919563","95.64788","78.82342"
"160.0","13.011001","0.18353106","0.9791577","-0.111290105","1.0024066","96.37428","79.38379"
"161.0","13.031001","0.1786499","0.9615856","-0.10836142","0.9840248","96.322266","79.4752"
"162.0","13.052001","0.16498269","0.9391323","-0.0741934","0.95639604","94.44925","80.036194"
"163.0","13.073001","0.1513155","0.91375035","-0.03904916","0.9270173","92.41421","80.597244"
"164.0","13.091001","0.16595893","0.91863143","-0.024405725","0.933821","91.49761","79.75947"
"165.0","13.111001","0.17962612","0.91375035","-0.046858992","0.9324168","92.88064","78.87854"
"166.0","13.1310005","0.20305562","0.9283937","-0.08102701","0.95378816","94.873314","77.66271"
"167.0","13.152","0.22453266","0.938156","-0.09859913","0.969677","95.83606","76.54035"
"168.0","13.1710005","0.19915071","0.94206095","-0.067359805","0.9652343","94.00169","78.06348"
"169.0","13.201","0.16986385","0.9401085","-0.041001618","0.9562107","92.45756","79.757996"
"170.0","13.235001","0.18157859","0.97427654","-0.054668825","0.99255943","93.15737","79.44275"
"171.0","13.243001","0.16693515","0.99184865","-0.0605262","1.0076183","93.44375","80.44625"
"172.0","13.276001","0.19231711","0.98013395","-0.07224095","1.0014325","94.13677","78.898735"
"173.0","13.281001","0.18255483","0.93522733","-0.05759751","0.95461714","93.45908","78.95484"
"174.0","13.317","0.18450728","0.91472656","-0.041001618","0.93404967","92.5159","78.59602"
"175.0","13.320001","0.20012695","0.9117979","-0.034168016","0.9341272","92.0962","77.620674"
"176.0","13.359","0.20696054","0.9117979","-0.0302631","0.9354806","91.85386","77.21165"
"177.0","13.361001","0.18938842","0.9313224","-0.05662128","0.952069","93.4095","78.505394"
"178.0","13.401001","0.1786499","0.9371798","-0.04002539","0.95489466","92.40231","79.20747"
"179.0","13.401001","0.21281794","0.9479183","-0.04490653","0.9725519","92.646515","77.3463"
"180.0","13.420001","0.20305562","0.9518233","-0.052716363","0.97466826","93.10044","77.95743"
"181.0","13.442","0.208913","0.9518233","-0.03807293","0.97522396","92.237404","77.62061"
"182.0","13.460001","0.23331872","0.9479183","-0.0302631","0.9766794","91.775635","76.1722"
"183.0","13.483001","0.2626056","0.9459658","-0.020500809","0.9819538","91.19628","74.48504"
"184.0","13.501","0.25870067","0.9410847","-0.011714748","0.9760654","90.68768","74.62927"
"185.0","13.524","0.24405725","0.90398806","-0.021477038","0.9366","91.31396","74.89158"
"186.0","13.540001","0.22258021","0.90398806","-0.022453265","0.9312575","91.38158","76.16776"
"187.0","13.564001","0.2186753","0.9117979","-0.027334413","0.93805194","91.66981","76.51355"
"188.0","13.581","0.2020794","0.916679","-0.043930303","0.93971616","92.67947","77.56814"
"189.0","13.6","0.20110317","0.92937","-0.04783522","0.95208156","92.87991","77.79021"
"190.0","13.620001","0.20793676","0.9313224","-0.03904916","0.95505184","92.3433","77.41397"
"191.0","13.642","0.20793676","0.9342511","-0.046858992","0.9582581","92.802895","77.45218"
"192.0","13.683001","0.21477039","0.93229866","-0.04783522","0.95791197","92.862366","77.02729"
"193.0","13.683001","0.22258021","0.93620354","-0.0370967","0.9630136","92.207664","76.62635"
"194.0","13.700001","0.22355644","0.93620354","-0.033191785","0.9630972","91.975006","76.56982"
"195.0","13.72","0.21379416","0.9274175","-0.027334413","0.9521336","91.6451","77.0186"
"196.0","13.759001","0.22062775","0.94303715","-0.032215554","0.9690374","91.90514","76.83223"
"197.0","13.76","0.23429495","0.94303715","-0.031239327","0.9722084","91.84136","76.04752"
"198.0","13.8","0.22843759","0.9225364","-0.029286869","0.95084953","91.76503","76.092224"
"199.0","13.8","0.22746135","0.9205839","-0.043930303","0.9492856","92.652435","76.121124"
"200.0","13.842001","0.2323425","0.93522733","-0.055645052","0.9652614","93.3048","76.04822"
"201.0","13.842001","0.23527117","0.9488945","-0.06931226","0.9800803","94.0554","76.07477"
"202.0","13.860001","0.24015234","0.95670444","-0.07809832","0.9894725","94.52702","75.908745"
"203.0","13.884001","0.24112856","0.95670444","-0.084931925","0.9902726","94.92009","75.85376"
"204.0","13.901001","0.2294138","0.9518233","-0.08297946","0.9825904","94.84438","76.448715"
"205.0","13.926001","0.2294138","0.9459658","-0.077122085","0.97643733","94.53012","76.36793"
"206.0","13.940001","0.22648512","0.93522733","-0.07028849","0.96482444","94.17776","76.386696"
"207.0","13.968","0.22355644","0.9264413","-0.058573738","0.9548308","93.517","76.4335"
"208.0","13.981001","0.2186753","0.9313224","-0.0605262","0.9585634","93.62022","76.78626"
"209.0","14.011001","0.22453266","0.9449896","-0.06443111","0.9734329","93.79516","76.63418"
"210.0","14.02","0.22258021","0.94206095","-0.065407336","0.9702056","93.86558","76.70654"
"211.0","14.054001","0.20598431","0.9313224","-0.06931226","0.9563447","94.15623","77.528435"
"212.0","14.06","0.21379416","0.9342511","-0.061502427","0.9603727","93.671745","77.11037"
"213.0","14.093","0.20110317","0.93229866","-0.06638357","0.95604914","93.98155","77.827415"
"214.0","14.1","0.19329333","0.938156","-0.084931925","0.9616197","95.06706","78.357956"
"215.0","14.135","0.21574661","0.94206095","-0.088836834","0.9705243","95.251915","77.100815"
"216.0","14.14","0.20793676","0.93327487","-0.090789296","0.9604595","95.424095","77.43947"
"217.0","14.182001","0.20305562","0.92937","-0.090789296","0.9556165","95.45167","77.67527"
"218.0","14.182001","0.20988922","0.9391323","-0.090789296","0.9665742","95.38968","77.40184"
"219.0","14.201","0.21477039","0.9401085","-0.08981306","0.9685023","95.32091","77.13146"
"220.0","14.225","0.19817449","0.92546505","-0.093717985","0.951074","95.65505","77.9135"
"221.0","14.241001","0.19719826","0.92156017","-0.0976229","0.9474653","95.91402","77.92182"
"222.0","14.27","0.20403185","0.9401085","-0.10348027","0.96754384","96.13961","77.75499"
"223.0","14.281001","0.19719826","0.93327487","-0.090789296","0.95819193","95.436966","78.06906"
"224.0","14.315001","0.1952458","0.9313224","-0.09469421","0.9562684","95.683014","78.159775"
"225.0","14.320001","0.19134088","0.9274175","-0.10055158","0.95227367","96.06122","78.342545"
"226.0","14.360001","0.18157859","0.91863143","-0.09859913","0.9415818","96.01083","78.818924"
"227.0","14.360001","0.18841219","0.91863143","-0.107385196","0.94388264","96.53267","78.409325"
"228.0","14.380001","0.19134088","0.90789294","-0.107385196","0.93403023","96.601875","78.09892"
"229.0","14.406001","0.19036464","0.9205839","-0.107385196","0.94617385","96.51678","78.31666"
"230.0","14.4210005","0.20305562","0.9342511","-0.114218794","0.96286166","96.81271","77.73771"
"231.0","14.449","0.20500809","0.9342511","-0.13374338","0.965785","97.959984","77.62342"
"232.0","14.461","0.20793676","0.9274175","-0.1444819","0.9613615","98.64367","77.36268"
"233.0","14.490001","0.21574661","0.9108216","-0.14741059","0.9475613","98.94976","76.673935"
"234.0","14.501","0.21574661","0.91375035","-0.15229172","0.9511462","99.21351","76.71513"
"235.0","14.535001","0.22062775","0.91863143","-0.14252943","0.9554449","98.57918","76.495056"
"236.0","14.542001","0.23429495","0.9303462","-0.1444819","0.970213","98.56421","75.86478"
"237.0","14.580001","0.22160399","0.9449896","-0.1581491","0.983425","99.25418","76.802376"
"238.0","14.580001","0.21281794","0.9606094","-0.14643435","0.9947386","98.46521","77.50819"
"239.0","14.627001","0.19915071","0.9488945","-0.14350566","0.98013043","98.41922","78.146996"
"240.0","14.627001","0.19231711","0.9488945","-0.15619664","0.98070586","99.164505","78.54278"
"241.0","14.64","0.18938842","0.9391323","-0.1552204","0.9705312","99.20303","78.598465"
"242.0","14.6710005","0.19036464","0.92937","-0.16498269","0.9629053","99.86565","78.42412"
"243.0","14.68","0.19231711","0.9283937","-0.16791138","0.9628577","100.043076","78.296684"
"244.0","14.719001","0.1786499","0.916679","-0.16205402","0.9478806","99.84391","78.97196"
"245.0","14.72","0.1786499","0.92937","-0.16791138","0.96116525","100.06094","79.118935"
"246.0","14.766001","0.18645974","0.9391323","-0.16693515","0.9719074","99.89018","78.77026"
"247.0","14.766001","0.18841219","0.94303715","-0.16498269","0.9757241","99.734764","78.70148"
"248.0","14.781001","0.19915071","0.9479183","-0.15229172","0.9805115","98.93528","78.13513"
"249.0","14.813001","0.20403185","0.9274175","-0.14643435","0.9608201","98.76636","77.59258"
